District,State,Reference_Year,Population,Rural_Percent,Urban_Percent,Literacy_Percent,Poverty_Percent,Population_Density_per_sq_km,Dataset_Status
A_District_24,Assam,2016,799134,61.19,38.81,79.79,21.81,160.34,Synthetic data for visualization practice
A_District_24,Assam,2021,874020,50.54,49.46,64.59,13.01,713.08,Synthetic data for visualization practice
A_District_25,Assam,2011,1516230,44.77,55.23,76.77,38.24,413.24,Synthetic data for visualization practice
A_District_25,Assam,2016,1655407,49.34,50.66,72.94,25.41,2190.32,Synthetic data for visualization practice
A_District_25,Assam,2021,1774515,67.82,32.18,81.81,22.54,1175.91,Synthetic data for visualization practice
A_District_26,Assam,2011,1689727,33.38,66.62,72.68,24.04,478.14,Synthetic data for visualization practice
A_District_26,Assam,2016,1771737,61.25,38.75,74.31,12.39,3460.5,Synthetic data for visualization practice
A_District_26,Assam,2021,1975523,78.68,21.32,69.55,26.41,1609.12,Synthetic data for visualization practice
A_District_27,Assam,2011,1704359,73.03,26.97,84.42,25.67,388.56,Synthetic data for visualization practice
A_District_27,Assam,2016,1855975,86.86,13.14,78.91,32.72,411.81,Synthetic data for visualization practice
A_District_27,Assam,2021,1930357,76.4,23.6,62.21,20.69,2036.57,Synthetic data for visualization practice
A_District_28,Assam,2011,2013921,69.8,30.2,70.4,15.47,499.03,Synthetic data for visualization practice
A_District_28,Assam,2016,2132416,80.77,19.23,59.04,26.45,445.21,Synthetic data for visualization practice
A_District_28,Assam,2021,2213103,57.67,42.33,74.48,11.23,1202.74,Synthetic data for visualization practice
A_District_29,Assam,2011,1744667,44.37,55.63,64.85,21.28,371.41,Synthetic data for visualization practice
A_District_29,Assam,2016,1861407,79.34,20.66,65.74,23.54,628.79,Synthetic data for visualization practice
A_District_29,Assam,2021,2069921,43.28,56.72,89.35,8.48,2433.38,Synthetic data for visualization practice
A_District_30,Assam,2011,242584,63.29,36.71,84.01,28.86,82.62,Synthetic data for visualization practice
A_District_30,Assam,2016,259701,83.01,16.99,64.01,38.95,155.64,Synthetic data for visualization practice
A_District_30,Assam,2021,271256,41.6,58.4,69.99,6.36,77.22,Synthetic data for visualization practice
B_District_01,Bihar,2011,347988,66.22,33.78,70.03,16.91,213.74,Synthetic data for visualization practice
B_District_01,Bihar,2016,371494,56.1,43.9,65.69,23.01,373.78,Synthetic data for visualization practice
B_District_01,Bihar,2021,385919,50.67,49.33,77.21,26.58,238.79,Synthetic data for visualization practice
B_District_02,Bihar,2011,1437402,40.3,59.7,63.46,19.99,445.95,Synthetic data for visualization practice
B_District_02,Bihar,2016,1555510,50.87,49.13,85.9,19.7,1172.51,Synthetic data for visualization practice
B_District_02,Bihar,2021,1565301,39.82,60.18,70.5,20.01,371.55,Synthetic data for visualization practice
B_District_03,Bihar,2011,1865099,61.96,38.04,67.84,17.38,1336.14,Synthetic data for visualization practice
B_District_03,Bihar,2016,1948441,37.86,62.14,69.77,32.81,424.28,Synthetic data for visualization practice
B_District_03,Bihar,2021,2026654,55.42,44.58,83.67,9.32,862.29,Synthetic data for visualization practice
B_District_04,Bihar,2011,2560909,68.87,31.13,64.63,22.2,571.49,Synthetic data for visualization practice
B_District_04,Bihar,2016,2712213,35.79,64.21,66.78,23.04,745.41,Synthetic data for visualization practice
B_District_04,Bihar,2021,2997510,26.71,73.29,68.66,30.19,969.52,Synthetic data for visualization practice
B_District_05,Bihar,2011,810572,58.65,41.35,64.55,35.0,164.1,Synthetic data for visualization practice
B_District_05,Bihar,2016,854481,90.0,10.0,65.88,11.99,346.53,Synthetic data for visualization practice
B_District_05,Bihar,2021,912237,89.68,10.32,69.47,15.12,285.49,Synthetic data for visualization practice
B_District_06,Bihar,2011,1379851,69.96,30.04,67.63,6.99,535.81,Synthetic data for visualization practice
B_District_06,Bihar,2016,1453440,65.33,34.67,72.59,36.95,1532.86,Synthetic data for visualization practice
B_District_06,Bihar,2021,1513440,54.74,45.26,66.76,19.72,464.37,Synthetic data for visualization practice
B_District_07,Bihar,2011,2544473,71.27,28.73,57.95,37.6,684.84,Synthetic data for visualization practice
B_District_07,Bihar,2016,2776608,49.52,50.48,57.9,32.27,566.84,Synthetic data for visualization practice
B_District_07,Bihar,2021,2775571,50.03,49.97,63.85,21.04,1283.11,Synthetic data for visualization practice
B_District_08,Bihar,2011,451289,27.72,72.28,66.77,27.63,200.96,Synthetic data for visualization practice
B_District_08,Bihar,2016,482622,41.04,58.96,66.51,33.27,100.1,Synthetic data for visualization practice
B_District_08,Bihar,2021,505957,55.71,44.29,74.2,16.14,755.12,Synthetic data for visualization practice
B_District_09,Bihar,2011,660563,59.97,40.03,76.12,39.38,1388.68,Synthetic data for visualization practice
B_District_09,Bihar,2016,717484,72.45,27.55,70.17,38.1,144.33,Synthetic data for visualization practice
B_District_09,Bihar,2021,747046,65.83,34.17,66.65,22.02,283.39,Synthetic data for visualization practice
B_District_10,Bihar,2011,1943541,68.43,31.57,72.67,41.87,461.76,Synthetic data for visualization practice
B_District_10,Bihar,2016,2057996,33.78,66.22,85.27,21.39,937.75,Synthetic data for visualization practice
B_District_10,Bihar,2021,2219299,48.21,51.79,64.92,25.77,1029.74,Synthetic data for visualization practice
B_District_11,Bihar,2011,2938794,48.61,51.39,58.87,9.63,767.74,Synthetic data for visualization practice
B_District_11,Bihar,2016,3190643,75.1,24.9,65.93,22.08,1381.05,Synthetic data for visualization practice
B_District_11,Bihar,2021,3213482,46.17,53.83,83.94,28.73,757.12,Synthetic data for visualization practice
B_District_12,Bihar,2011,278997,66.24,33.76,66.86,22.64,223.44,Synthetic data for visualization practice
B_District_12,Bihar,2016,298206,58.81,41.19,66.12,17.59,227.1,Synthetic data for visualization practice
B_District_12,Bihar,2021,321248,53.28,46.72,79.35,10.96,94.25,Synthetic data for visualization practice
B_District_13,Bihar,2011,1489274,50.94,49.06,86.82,26.42,1647.66,Synthetic data for visualization practice
B_District_13,Bihar,2016,1565891,43.78,56.22,78.22,16.48,3622.51,Synthetic data for visualization practice
B_District_13,Bihar,2021,1642409,55.05,44.95,66.89,20.21,339.76,Synthetic data for visualization practice
B_District_14,Bihar,2011,2433420,57.63,42.37,57.45,29.94,612.5,Synthetic data for visualization practice
B_District_14,Bihar,2016,2582616,66.47,33.53,74.95,31.32,1118.73,Synthetic data for visualization practice
B_District_14,Bihar,2021,2752971,56.84,43.16,76.57,25.23,2044.3,Synthetic data for visualization practice
B_District_15,Bihar,2011,1266498,45.38,54.62,71.55,15.92,705.83,Synthetic data for visualization practice
B_District_15,Bihar,2016,1348783,31.76,68.24,89.87,16.75,312.96,Synthetic data for visualization practice
B_District_15,Bihar,2021,1436868,54.25,45.75,58.49,22.04,709.15,Synthetic data for visualization practice
B_District_16,Bihar,2011,2513893,59.11,40.89,61.66,14.34,2177.66,Synthetic data for visualization practice
B_District_16,Bihar,2016,2639964,79.48,20.52,73.76,19.58,3159.54,Synthetic data for visualization practice
B_District_16,Bihar,2021,2743070,55.78,44.22,76.17,15.1,2207.96,Synthetic data for visualization practice
B_District_17,Bihar,2011,262300,55.03,44.97,84.75,37.31,588.38,Synthetic data for visualization practice
B_District_17,Bihar,2016,278547,46.0,54.0,72.02,17.6,174.79,Synthetic data for visualization practice
B_District_17,Bihar,2021,295904,48.92,51.08,70.29,20.52,103.18,Synthetic data for visualization practice
B_District_18,Bihar,2011,1179539,66.43,33.57,56.06,34.59,537.78,Synthetic data for visualization practice
B_District_18,Bihar,2016,1278767,65.88,34.12,65.63,14.69,397.86,Synthetic data for visualization practice
B_District_18,Bihar,2021,1344395,65.49,34.51,66.75,26.86,970.63,Synthetic data for visualization practice
B_District_19,Bihar,2011,2511666,52.44,47.56,64.54,16.75,664.5,Synthetic data for visualization practice
B_District_19,Bihar,2016,2673544,70.86,29.14,66.76,18.28,695.32,Synthetic data for visualization practice
B_District_19,Bihar,2021,2776297,72.85,27.15,77.56,11.62,2994.34,Synthetic data for visualization practice
B_District_20,Bihar,2011,1822481,37.06,62.94,53.96,20.73,1027.75,Synthetic data for visualization practice
B_District_20,Bihar,2016,1984771,68.13,31.87,58.02,22.46,1910.23,Synthetic data for visualization practice
B_District_20,Bihar,2021,2127921,51.82,48.18,66.06,5.0,584.84,Synthetic data for visualization practice
B_District_21,Bihar,2011,379651,62.1,37.9,67.97,18.65,184.16,Synthetic data for visualization practice
B_District_21,Bihar,2016,398331,43.0,57.0,62.13,31.05,144.92,Synthetic data for visualization practice
B_District_21,Bihar,2021,437697,65.39,34.61,65.99,18.25,245.25,Synthetic data for visualization practice
B_District_22,Bihar,2011,225278,58.32,41.68,65.2,28.84,47.32,Synthetic data for visualization practice
B_District_22,Bihar,2016,240660,30.9,69.1,71.07,12.58,576.97,Synthetic data for visualization practice
B_District_22,Bihar,2021,269204,31.89,68.11,82.7,24.95,59.06,Synthetic data for visualization practice
B_District_23,Bihar,2011,734733,58.0,42.0,68.91,34.37,1630.02,Synthetic data for visualization practice
B_District_23,Bihar,2016,774385,34.17,65.83,68.75,23.42,226.0,Synthetic data for visualization practice
B_District_23,Bihar,2021,848981,59.9,40.1,85.63,23.16,261.0,Synthetic data for visualization practice
B_District_24,Bihar,2011,2907511,71.27,28.73,66.51,20.34,1562.49,Synthetic data for visualization practice
B_District_24,Bihar,2016,3112761,66.89,33.11,73.13,29.01,2583.01,Synthetic data for visualization practice
B_District_24,Bihar,2021,3242514,70.24,29.76,78.1,23.07,5511.25,Synthetic data for visualization practice
B_District_25,Bihar,2011,395109,59.51,40.49,60.03,25.8,126.86,Synthetic data for visualization practice
B_District_25,Bihar,2016,430025,55.6,44.4,65.42,22.66,269.17,Synthetic data for visualization practice
B_District_25,Bihar,2021,447418,63.52,36.48,65.12,40.3,208.23,Synthetic data for visualization practice
B_District_26,Bihar,2011,734180,87.56,12.44,61.46,14.13,787.23,Synthetic data for visualization practice
B_District_26,Bihar,2016,767685,34.54,65.46,79.68,18.68,178.52,Synthetic data for visualization practice
B_District_26,Bihar,2021,862871,59.12,40.88,93.56,8.2,227.25,Synthetic data for visualization practice
B_District_27,Bihar,2011,2670963,81.97,18.03,83.6,15.65,1935.58,Synthetic data for visualization practice
B_District_27,Bihar,2016,2791200,43.25,56.75,85.43,20.05,5476.55,Synthetic data for visualization practice
B_District_27,Bihar,2021,2979808,30.05,69.95,72.47,13.23,1320.91,Synthetic data for visualization practice
B_District_28,Bihar,2011,2687862,45.43,54.57,74.03,23.77,976.66,Synthetic data for visualization practice
B_District_28,Bihar,2016,2802136,41.97,58.03,78.13,20.35,2081.4,Synthetic data for visualization practice
B_District_28,Bihar,2021,3132504,51.38,48.62,88.84,21.49,1266.25,Synthetic data for visualization practice
B_District_29,Bihar,2011,1960290,59.26,40.74,66.55,32.25,456.23,Synthetic data for visualization practice
B_District_29,Bihar,2016,2090619,39.26,60.74,69.36,33.2,528.29,Synthetic data for visualization practice
B_District_29,Bihar,2021,2145294,50.96,49.04,74.31,37.24,1560.52,Synthetic data for visualization practice
B_District_30,Bihar,2011,804642,75.56,24.44,57.26,15.64,1079.55,Synthetic data for visualization practice
B_District_30,Bihar,2016,857845,63.96,36.04,76.74,38.12,655.29,Synthetic data for visualization practice
B_District_30,Bihar,2021,943422,75.39,24.61,76.85,18.32,636.96,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2011,2766008,57.63,42.37,52.78,20.24,1272.34,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2016,2993039,79.4,20.6,73.67,14.72,1513.19,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2021,3297567,41.96,58.04,79.8,33.18,684.13,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2011,1023616,74.39,25.61,81.17,5.23,380.07,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2016,1082815,62.85,37.15,75.72,5.0,271.95,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2021,1120113,57.22,42.78,73.32,19.08,235.22,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2011,2823370,64.23,35.77,78.27,22.69,1343.07,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2016,3016870,33.34,66.66,76.29,23.01,742.7,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2021,3239313,81.86,18.14,78.39,19.7,921.07,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2011,536853,38.47,61.53,92.35,17.09,350.99,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2016,576944,78.71,21.29,65.39,22.15,235.28,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2021,616490,71.51,28.49,67.61,22.68,129.3,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2011,1285816,51.71,48.29,73.85,22.68,291.32,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2016,1361272,57.17,42.83,71.08,34.58,1075.57,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2021,1503730,43.55,56.45,64.58,37.79,629.46,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2011,1166663,60.41,39.59,69.2,13.98,276.84,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2016,1232707,44.36,55.64,83.95,21.93,357.03,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2021,1280338,65.02,34.98,68.9,29.22,611.1,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2011,2361185,54.28,45.72,65.76,12.18,1201.8,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2016,2469707,63.82,36.18,63.35,9.61,581.96,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2021,2697735,49.82,50.18,70.84,30.26,712.7,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2011,1220136,30.63,69.37,64.3,27.59,1641.52,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2016,1282560,58.11,41.89,86.21,30.34,334.06,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2021,1444527,53.54,46.46,69.25,9.95,294.96,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2011,1558240,74.57,25.43,66.33,7.29,882.31,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2016,1647935,52.06,47.94,73.86,25.08,2425.89,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2021,1856680,63.25,36.75,64.88,24.35,373.79,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2011,644882,33.96,66.04,68.88,11.45,159.13,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2016,683718,47.07,52.93,82.3,23.82,645.29,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2021,725628,73.3,26.7,80.18,12.89,150.8,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2011,702078,39.24,60.76,78.74,14.87,161.59,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2016,740837,38.02,61.98,67.24,17.63,221.75,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2021,800653,37.82,62.18,59.45,26.39,233.61,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2011,2099508,59.06,40.94,66.43,23.47,2154.62,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2016,2272473,90.0,10.0,82.57,19.69,1148.0,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2021,2417869,71.03,28.97,79.08,17.65,1697.01,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2011,479225,53.66,46.34,78.22,22.69,270.06,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2016,521880,67.43,32.57,53.19,12.13,118.38,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2021,525691,71.19,28.81,88.92,20.69,143.72,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2011,742789,67.95,32.05,67.05,45.0,1206.46,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2016,796831,66.23,33.77,62.75,23.86,318.46,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2021,817620,67.57,32.43,79.34,26.77,211.94,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2011,1560658,57.64,42.36,55.12,23.35,1558.98,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2016,1684508,50.0,50.0,69.19,37.44,415.4,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2021,1797561,53.23,46.77,55.13,27.38,442.02,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2011,786340,39.21,60.79,72.65,30.52,627.48,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2016,857761,80.92,19.08,53.59,12.45,267.54,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2021,899654,44.6,55.4,67.6,20.27,500.02,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2011,2331191,55.02,44.98,82.79,21.8,500.58,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2016,2451109,69.29,30.71,65.38,12.82,923.31,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2021,2608655,40.58,59.42,69.85,12.33,2404.22,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2011,1812611,88.33,11.67,56.66,23.29,657.62,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2016,1916742,56.43,43.57,78.93,22.77,537.46,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2021,1984615,42.37,57.63,85.28,29.3,1745.62,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2011,2055281,66.93,33.07,81.58,16.73,2451.73,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2016,2194723,22.11,77.89,75.43,16.24,864.97,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2021,2443159,46.03,53.97,85.52,29.52,497.86,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2011,1158404,62.75,37.25,68.72,19.32,741.5,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2016,1242608,21.51,78.49,74.15,6.09,351.43,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2021,1350702,30.81,69.19,56.06,8.81,387.61,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2011,2361683,35.26,64.74,66.1,25.01,607.62,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2016,2560975,69.48,30.52,69.73,7.18,539.21,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2021,2723113,43.35,56.65,62.51,22.56,739.95,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2011,231954,54.96,45.04,60.19,31.95,197.36,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2016,248365,75.4,24.6,68.15,19.58,300.0,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2021,258447,21.71,78.29,76.09,17.35,200.94,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2011,333171,59.03,40.97,73.9,24.91,97.54,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2016,357539,61.21,38.79,72.21,31.18,177.26,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2021,396334,58.09,41.91,75.89,24.05,89.45,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2011,1365329,43.76,56.24,82.39,20.99,435.68,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2016,1449231,46.8,53.2,77.2,22.73,340.07,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2021,1585016,71.35,28.65,86.27,23.9,481.67,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2011,2798183,56.95,43.05,70.42,10.31,841.04,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2016,2918905,51.36,48.64,75.27,32.18,1571.88,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2021,3270364,43.52,56.48,64.53,17.24,6518.84,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2011,1420631,59.81,40.19,62.49,32.35,1737.55,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2016,1530661,73.36,26.64,74.94,20.75,315.77,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2021,1616783,63.18,36.82,73.69,19.3,324.39,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2011,281957,66.67,33.33,76.34,19.22,142.84,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2016,303129,57.45,42.55,70.76,35.47,509.48,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2021,318535,36.44,63.56,78.54,17.34,77.44,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2011,2746442,55.64,44.36,72.56,11.99,871.48,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2016,2961640,23.3,76.7,79.69,34.47,758.91,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2021,3036226,54.64,45.36,86.39,18.35,1149.47,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2011,1879952,63.02,36.98,67.36,24.63,1012.69,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2016,2006165,90.0,10.0,67.34,30.02,817.71,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2021,2126564,48.63,51.37,81.16,23.16,463.66,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2011,938157,64.84,35.16,74.59,21.49,333.35,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2016,989765,46.12,53.88,69.82,18.29,522.82,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2021,1088186,40.47,59.53,90.33,18.54,400.57,Synthetic data for visualization practice
G_District_01,Goa,2011,212046,51.44,48.56,66.84,23.64,45.82,Synthetic data for visualization practice
G_District_01,Goa,2016,230609,53.15,46.85,81.59,24.41,59.58,Synthetic data for visualization practice
G_District_01,Goa,2021,238639,82.54,17.46,73.55,17.88,123.38,Synthetic data for visualization practice
G_District_02,Goa,2011,1787245,47.99,52.01,71.02,17.56,379.61,Synthetic data for visualization practice
G_District_02,Goa,2016,1898180,41.28,58.72,77.51,32.96,541.86,Synthetic data for visualization practice
G_District_02,Goa,2021,1938157,26.42,73.58,58.73,17.29,648.82,Synthetic data for visualization practice
G_District_03,Goa,2011,1730353,55.54,44.46,72.33,15.72,347.39,Synthetic data for visualization practice
G_District_03,Goa,2016,1861088,56.7,43.3,68.38,25.52,510.6,Synthetic data for visualization practice
G_District_03,Goa,2021,1986073,43.57,56.43,81.91,26.4,765.1,Synthetic data for visualization practice
G_District_04,Goa,2011,1114287,52.19,47.81,80.42,29.64,310.73,Synthetic data for visualization practice
G_District_04,Goa,2016,1211858,53.4,46.6,49.86,9.11,896.26,Synthetic data for visualization practice
G_District_04,Goa,2021,1213689,67.21,32.79,60.21,17.99,254.98,Synthetic data for visualization practice
G_District_05,Goa,2011,2576330,61.79,38.21,73.76,29.23,527.9,Synthetic data for visualization practice
G_District_05,Goa,2016,2765759,29.56,70.44,69.91,21.84,2464.9,Synthetic data for visualization practice
G_District_05,Goa,2021,3058336,72.11,27.89,72.12,14.64,716.77,Synthetic data for visualization practice
G_District_06,Goa,2011,1437437,64.97,35.03,81.44,13.67,352.0,Synthetic data for visualization practice
G_District_06,Goa,2016,1557697,57.77,42.23,70.43,18.08,1317.85,Synthetic data for visualization practice
G_District_06,Goa,2021,1687791,52.3,47.7,82.02,9.89,368.46,Synthetic data for visualization practice
G_District_07,Goa,2011,2876314,47.07,52.93,80.32,14.13,1346.99,Synthetic data for visualization practice
G_District_07,Goa,2016,3001957,26.95,73.05,70.63,11.89,7445.8,Synthetic data for visualization practice
G_District_07,Goa,2021,3291610,82.81,17.19,72.84,30.15,1977.79,Synthetic data for visualization practice
G_District_08,Goa,2011,1870912,26.13,73.87,86.64,13.61,509.63,Synthetic data for visualization practice
G_District_08,Goa,2016,2013235,40.36,59.64,74.81,39.06,456.24,Synthetic data for visualization practice
G_District_08,Goa,2021,2231672,44.32,55.68,72.9,20.68,906.87,Synthetic data for visualization practice
G_District_09,Goa,2011,1855920,61.88,38.12,70.39,22.3,1065.95,Synthetic data for visualization practice
G_District_09,Goa,2016,1966776,69.67,30.33,65.25,21.53,663.16,Synthetic data for visualization practice
G_District_09,Goa,2021,2084935,53.36,46.64,88.6,8.3,539.49,Synthetic data for visualization practice
G_District_10,Goa,2011,2400286,59.32,40.68,63.34,10.6,778.73,Synthetic data for visualization practice
G_District_10,Goa,2016,2584068,40.26,59.74,67.5,38.84,1411.16,Synthetic data for visualization practice
G_District_10,Goa,2021,2745252,70.96,29.04,81.14,11.35,661.75,Synthetic data for visualization practice
G_District_11,Goa,2011,1161310,43.58,56.42,67.56,25.36,646.58,Synthetic data for visualization practice
G_District_11,Goa,2016,1259474,42.3,57.7,67.21,23.72,1908.1,Synthetic data for visualization practice
G_District_11,Goa,2021,1323720,54.67,45.33,62.77,36.91,1199.05,Synthetic data for visualization practice
G_District_12,Goa,2011,959299,55.45,44.55,72.77,10.0,304.29,Synthetic data for visualization practice
G_District_12,Goa,2016,1046748,56.17,43.83,73.86,12.01,282.24,Synthetic data for visualization practice
G_District_12,Goa,2021,1112236,81.1,18.9,66.41,27.37,501.73,Synthetic data for visualization practice
G_District_13,Goa,2011,2983328,48.2,51.8,83.17,25.05,1400.3,Synthetic data for visualization practice
G_District_13,Goa,2016,3214988,59.35,40.65,71.13,33.04,1196.86,Synthetic data for visualization practice
G_District_13,Goa,2021,3291698,15.0,85.0,75.96,23.7,1530.05,Synthetic data for visualization practice
G_District_14,Goa,2011,943565,58.91,41.09,78.1,19.86,1143.36,Synthetic data for visualization practice
G_District_14,Goa,2016,993743,63.14,36.86,76.44,31.26,529.96,Synthetic data for visualization practice
G_District_14,Goa,2021,1102493,69.85,30.15,73.57,37.34,226.99,Synthetic data for visualization practice
G_District_15,Goa,2011,844673,23.47,76.53,77.74,16.43,194.2,Synthetic data for visualization practice
G_District_15,Goa,2016,880022,43.09,56.91,69.6,16.29,519.14,Synthetic data for visualization practice
G_District_15,Goa,2021,951692,43.73,56.27,74.43,25.13,493.58,Synthetic data for visualization practice
G_District_16,Goa,2011,1418539,59.66,40.34,76.79,27.84,295.24,Synthetic data for visualization practice
G_District_16,Goa,2016,1539304,69.96,30.04,96.0,45.0,489.08,Synthetic data for visualization practice
G_District_16,Goa,2021,1691336,54.89,45.11,76.54,21.39,1393.63,Synthetic data for visualization practice
G_District_17,Goa,2011,2843481,46.86,53.14,70.2,28.75,617.7,Synthetic data for visualization practice
G_District_17,Goa,2016,3055446,63.55,36.45,70.21,30.93,666.51,Synthetic data for visualization practice
G_District_17,Goa,2021,3094909,59.57,40.43,75.64,15.08,716.83,Synthetic data for visualization practice
G_District_18,Goa,2011,1994769,45.58,54.42,85.39,5.0,549.86,Synthetic data for visualization practice
G_District_18,Goa,2016,2086376,69.64,30.36,63.35,21.45,719.34,Synthetic data for visualization practice
G_District_18,Goa,2021,2332759,82.45,17.55,71.03,38.88,787.37,Synthetic data for visualization practice
G_District_19,Goa,2011,2913219,50.7,49.3,67.18,34.3,3772.56,Synthetic data for visualization practice
G_District_19,Goa,2016,3105617,35.35,64.65,62.89,29.47,669.82,Synthetic data for visualization practice
G_District_19,Goa,2021,3203903,46.77,53.23,78.45,12.96,792.39,Synthetic data for visualization practice
G_District_20,Goa,2011,821034,50.88,49.12,75.58,22.82,643.98,Synthetic data for visualization practice
G_District_20,Goa,2016,867790,64.22,35.78,81.24,24.57,188.15,Synthetic data for visualization practice
G_District_20,Goa,2021,969323,38.51,61.49,71.01,29.13,249.52,Synthetic data for visualization practice
G_District_21,Goa,2011,570219,30.49,69.51,74.55,18.93,714.16,Synthetic data for visualization practice
G_District_21,Goa,2016,601324,44.36,55.64,76.61,22.45,174.53,Synthetic data for visualization practice
G_District_21,Goa,2021,664042,58.07,41.93,77.68,33.33,153.75,Synthetic data for visualization practice
G_District_22,Goa,2011,2903105,50.46,49.54,59.13,23.65,1529.31,Synthetic data for visualization practice
G_District_22,Goa,2016,3139029,15.0,85.0,79.83,29.45,773.15,Synthetic data for visualization practice
G_District_22,Goa,2021,3207374,64.42,35.58,65.83,32.17,1036.95,Synthetic data for visualization practice
G_District_23,Goa,2011,1212776,42.62,57.38,74.73,32.48,814.21,Synthetic data for visualization practice
G_District_23,Goa,2016,1282790,29.56,70.44,59.98,23.33,3055.86,Synthetic data for visualization practice
