District,State,Reference_Year,Food_Insecurity_Percent,Child_Stunting_Percent,Child_Wasting_Percent,Anaemia_Percent,Poverty_Percent,Nutrition_Score,Dataset_Status
A_District_24,Assam,2019,15.82,31.44,15.67,55.01,14.22,58.67,Synthetic data for visualization practice
A_District_24,Assam,2020,22.23,34.06,16.59,52.82,24.66,52.28,Synthetic data for visualization practice
A_District_24,Assam,2021,23.06,32.0,15.89,53.87,25.55,52.7,Synthetic data for visualization practice
A_District_25,Assam,2019,17.22,35.73,15.65,63.05,11.67,54.21,Synthetic data for visualization practice
A_District_25,Assam,2020,26.12,35.45,17.17,56.99,18.22,47.68,Synthetic data for visualization practice
A_District_25,Assam,2021,21.69,33.47,19.86,57.29,22.15,51.36,Synthetic data for visualization practice
A_District_26,Assam,2019,18.46,31.62,13.09,50.12,18.56,57.98,Synthetic data for visualization practice
A_District_26,Assam,2020,30.2,32.78,15.8,61.37,43.62,45.5,Synthetic data for visualization practice
A_District_26,Assam,2021,24.48,38.17,14.51,59.61,28.75,48.04,Synthetic data for visualization practice
A_District_27,Assam,2019,14.53,25.24,16.29,54.89,18.7,62.64,Synthetic data for visualization practice
A_District_27,Assam,2020,23.55,38.06,11.48,61.62,29.87,49.44,Synthetic data for visualization practice
A_District_27,Assam,2021,22.23,35.75,13.09,48.96,24.27,53.07,Synthetic data for visualization practice
A_District_28,Assam,2019,22.84,29.09,13.26,53.23,25.03,55.22,Synthetic data for visualization practice
A_District_28,Assam,2020,13.13,23.53,11.23,50.97,18.58,66.72,Synthetic data for visualization practice
A_District_28,Assam,2021,13.7,33.77,10.17,49.87,12.81,61.62,Synthetic data for visualization practice
A_District_29,Assam,2019,16.96,35.98,13.47,58.55,21.24,55.62,Synthetic data for visualization practice
A_District_29,Assam,2020,20.91,35.42,16.03,60.7,27.17,51.64,Synthetic data for visualization practice
A_District_29,Assam,2021,18.3,31.82,16.34,48.77,20.33,57.23,Synthetic data for visualization practice
A_District_30,Assam,2019,16.96,36.16,19.83,58.04,25.3,53.69,Synthetic data for visualization practice
A_District_30,Assam,2020,24.87,29.03,11.61,59.44,32.03,53.19,Synthetic data for visualization practice
A_District_30,Assam,2021,14.1,29.5,15.06,43.9,17.89,62.87,Synthetic data for visualization practice
B_District_01,Bihar,2019,19.98,36.47,13.78,57.72,29.47,52.99,Synthetic data for visualization practice
B_District_01,Bihar,2020,23.84,38.75,13.08,63.07,26.58,48.17,Synthetic data for visualization practice
B_District_01,Bihar,2021,14.89,31.22,14.93,53.36,12.93,59.99,Synthetic data for visualization practice
B_District_02,Bihar,2019,18.1,32.7,17.4,53.54,15.42,55.92,Synthetic data for visualization practice
B_District_02,Bihar,2020,18.17,30.51,15.4,50.57,15.03,58.01,Synthetic data for visualization practice
B_District_02,Bihar,2021,24.38,34.06,16.36,52.39,36.38,50.7,Synthetic data for visualization practice
B_District_03,Bihar,2019,24.22,36.9,9.18,57.55,33.99,50.78,Synthetic data for visualization practice
B_District_03,Bihar,2020,15.83,35.03,13.14,51.4,20.52,58.17,Synthetic data for visualization practice
B_District_03,Bihar,2021,12.29,24.23,15.47,39.44,20.07,67.5,Synthetic data for visualization practice
B_District_04,Bihar,2019,22.49,37.44,14.23,63.14,18.65,49.55,Synthetic data for visualization practice
B_District_04,Bihar,2020,18.97,27.0,17.43,52.3,16.26,58.25,Synthetic data for visualization practice
B_District_04,Bihar,2021,14.18,30.91,12.31,53.99,14.24,61.41,Synthetic data for visualization practice
B_District_05,Bihar,2019,21.15,33.39,14.19,56.51,23.32,53.65,Synthetic data for visualization practice
B_District_05,Bihar,2020,25.74,39.92,18.88,74.18,22.83,42.66,Synthetic data for visualization practice
B_District_05,Bihar,2021,20.88,36.3,12.7,53.35,22.59,53.33,Synthetic data for visualization practice
B_District_06,Bihar,2019,23.26,35.34,18.53,61.43,30.51,48.95,Synthetic data for visualization practice
B_District_06,Bihar,2020,18.65,36.8,16.6,46.09,24.84,54.78,Synthetic data for visualization practice
B_District_06,Bihar,2021,20.58,36.43,17.42,56.79,23.78,51.58,Synthetic data for visualization practice
B_District_07,Bihar,2019,19.35,31.6,14.89,54.41,26.13,56.09,Synthetic data for visualization practice
B_District_07,Bihar,2020,12.68,29.2,12.47,49.0,12.49,64.17,Synthetic data for visualization practice
B_District_07,Bihar,2021,19.77,26.36,14.07,58.67,29.1,57.98,Synthetic data for visualization practice
B_District_08,Bihar,2019,19.49,31.79,15.51,55.56,30.72,55.52,Synthetic data for visualization practice
B_District_08,Bihar,2020,20.21,33.38,16.1,59.27,29.02,53.42,Synthetic data for visualization practice
B_District_08,Bihar,2021,16.75,20.4,12.63,50.26,19.61,65.07,Synthetic data for visualization practice
B_District_09,Bihar,2019,19.15,23.49,15.33,49.8,22.39,60.87,Synthetic data for visualization practice
B_District_09,Bihar,2020,16.7,31.31,13.47,54.37,24.63,58.79,Synthetic data for visualization practice
B_District_09,Bihar,2021,18.39,25.97,10.9,51.04,22.1,61.37,Synthetic data for visualization practice
B_District_10,Bihar,2019,16.82,30.14,11.79,51.54,14.45,60.2,Synthetic data for visualization practice
B_District_10,Bihar,2020,19.13,40.04,13.11,54.07,20.29,52.63,Synthetic data for visualization practice
B_District_10,Bihar,2021,18.86,30.37,10.84,51.7,21.69,58.72,Synthetic data for visualization practice
B_District_11,Bihar,2019,9.56,23.07,13.85,51.22,9.0,68.97,Synthetic data for visualization practice
B_District_11,Bihar,2020,14.34,22.45,12.35,53.32,14.76,65.6,Synthetic data for visualization practice
B_District_11,Bihar,2021,19.64,37.01,11.12,48.53,26.86,55.17,Synthetic data for visualization practice
B_District_12,Bihar,2019,28.16,37.33,11.55,50.19,35.79,47.81,Synthetic data for visualization practice
B_District_12,Bihar,2020,19.67,28.4,15.08,55.36,25.0,57.23,Synthetic data for visualization practice
B_District_12,Bihar,2021,24.3,40.28,16.09,57.22,30.7,47.02,Synthetic data for visualization practice
B_District_13,Bihar,2019,25.0,37.25,17.2,60.88,17.38,47.08,Synthetic data for visualization practice
B_District_13,Bihar,2020,29.93,32.04,20.99,59.75,37.37,44.77,Synthetic data for visualization practice
B_District_13,Bihar,2021,16.9,33.4,12.6,53.49,24.98,57.98,Synthetic data for visualization practice
B_District_14,Bihar,2019,32.85,40.25,18.37,61.48,36.19,38.86,Synthetic data for visualization practice
B_District_14,Bihar,2020,22.76,32.83,18.14,54.1,30.45,51.82,Synthetic data for visualization practice
B_District_14,Bihar,2021,14.6,32.85,18.5,55.1,22.45,58.08,Synthetic data for visualization practice
B_District_15,Bihar,2019,15.7,26.86,13.36,56.07,14.54,61.59,Synthetic data for visualization practice
B_District_15,Bihar,2020,14.41,24.66,10.15,53.82,21.17,65.03,Synthetic data for visualization practice
B_District_15,Bihar,2021,30.29,31.07,21.12,66.37,34.91,43.94,Synthetic data for visualization practice
B_District_16,Bihar,2019,20.86,35.68,11.94,58.61,19.23,53.1,Synthetic data for visualization practice
B_District_16,Bihar,2020,9.84,31.97,12.51,45.9,6.39,65.5,Synthetic data for visualization practice
B_District_16,Bihar,2021,25.09,41.04,18.46,63.72,27.57,44.31,Synthetic data for visualization practice
B_District_17,Bihar,2019,22.12,33.22,12.5,51.6,27.01,54.2,Synthetic data for visualization practice
B_District_17,Bihar,2020,20.47,39.02,15.01,60.32,23.17,50.56,Synthetic data for visualization practice
B_District_17,Bihar,2021,24.29,37.74,15.46,64.4,32.7,47.4,Synthetic data for visualization practice
B_District_18,Bihar,2019,17.06,37.98,13.81,55.33,17.41,54.92,Synthetic data for visualization practice
B_District_18,Bihar,2020,20.15,35.13,11.55,51.97,29.57,55.05,Synthetic data for visualization practice
B_District_18,Bihar,2021,26.37,35.29,17.71,58.84,33.28,47.12,Synthetic data for visualization practice
B_District_19,Bihar,2019,19.75,33.03,14.16,46.91,27.16,56.4,Synthetic data for visualization practice
B_District_19,Bihar,2020,20.57,34.85,11.83,47.67,16.12,55.42,Synthetic data for visualization practice
B_District_19,Bihar,2021,23.66,34.27,19.18,59.14,21.77,49.31,Synthetic data for visualization practice
B_District_20,Bihar,2019,16.31,29.63,16.24,48.53,11.82,59.98,Synthetic data for visualization practice
B_District_20,Bihar,2020,20.38,32.59,16.11,53.92,22.41,54.48,Synthetic data for visualization practice
B_District_20,Bihar,2021,20.96,37.72,13.34,58.47,16.63,51.6,Synthetic data for visualization practice
B_District_21,Bihar,2019,18.32,25.26,16.9,52.64,14.94,59.75,Synthetic data for visualization practice
B_District_21,Bihar,2020,20.19,35.43,12.98,58.71,21.75,53.43,Synthetic data for visualization practice
B_District_21,Bihar,2021,16.45,30.37,17.57,61.07,24.03,57.23,Synthetic data for visualization practice
B_District_22,Bihar,2019,15.43,33.89,15.67,55.96,12.66,57.61,Synthetic data for visualization practice
B_District_22,Bihar,2020,19.73,30.42,10.19,56.52,23.53,57.48,Synthetic data for visualization practice
B_District_22,Bihar,2021,20.93,28.16,16.85,65.88,22.29,54.24,Synthetic data for visualization practice
B_District_23,Bihar,2019,18.52,40.31,12.07,55.05,19.26,53.15,Synthetic data for visualization practice
B_District_23,Bihar,2020,13.11,29.01,16.65,59.53,14.09,61.08,Synthetic data for visualization practice
B_District_23,Bihar,2021,18.43,42.1,13.54,51.12,22.83,52.48,Synthetic data for visualization practice
B_District_24,Bihar,2019,27.63,46.87,13.43,67.25,32.22,40.35,Synthetic data for visualization practice
B_District_24,Bihar,2020,22.04,27.53,19.18,60.26,22.94,53.81,Synthetic data for visualization practice
B_District_24,Bihar,2021,21.13,30.56,13.83,53.42,22.18,55.65,Synthetic data for visualization practice
B_District_25,Bihar,2019,14.06,33.18,16.49,47.63,22.94,60.07,Synthetic data for visualization practice
B_District_25,Bihar,2020,19.65,34.12,13.34,50.36,24.45,55.66,Synthetic data for visualization practice
B_District_25,Bihar,2021,22.97,42.72,15.86,52.3,29.38,47.67,Synthetic data for visualization practice
B_District_26,Bihar,2019,25.42,40.74,14.72,57.89,29.52,46.19,Synthetic data for visualization practice
B_District_26,Bihar,2020,16.28,29.9,17.41,53.77,23.91,58.74,Synthetic data for visualization practice
B_District_26,Bihar,2021,10.96,34.69,12.51,45.89,15.69,63.25,Synthetic data for visualization practice
B_District_27,Bihar,2019,19.71,31.27,18.35,55.07,15.34,54.84,Synthetic data for visualization practice
B_District_27,Bihar,2020,27.4,40.48,18.65,62.93,35.69,42.81,Synthetic data for visualization practice
B_District_27,Bihar,2021,21.77,41.63,13.17,56.17,28.12,49.39,Synthetic data for visualization practice
B_District_28,Bihar,2019,21.26,34.95,14.89,47.91,28.27,53.86,Synthetic data for visualization practice
B_District_28,Bihar,2020,17.73,24.81,14.78,55.96,25.52,60.58,Synthetic data for visualization practice
B_District_28,Bihar,2021,24.73,27.87,12.78,67.94,29.14,52.26,Synthetic data for visualization practice
B_District_29,Bihar,2019,18.63,32.56,13.07,56.92,24.89,56.35,Synthetic data for visualization practice
B_District_29,Bihar,2020,17.52,27.44,15.05,47.32,21.57,60.65,Synthetic data for visualization practice
B_District_29,Bihar,2021,27.86,42.73,18.76,59.68,23.61,41.77,Synthetic data for visualization practice
B_District_30,Bihar,2019,20.12,29.9,13.28,54.25,16.85,56.83,Synthetic data for visualization practice
B_District_30,Bihar,2020,13.59,29.27,11.17,47.13,18.67,64.07,Synthetic data for visualization practice
B_District_30,Bihar,2021,19.92,32.03,14.53,57.93,20.64,55.0,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2019,20.39,35.89,14.73,55.66,21.78,52.98,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2020,14.46,33.03,14.73,53.67,18.26,59.45,Synthetic data for visualization practice
C_District_01,Chhattisgarh,2021,21.27,36.48,17.66,60.38,25.69,50.39,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2019,23.89,37.67,16.68,58.77,29.47,48.23,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2020,17.14,42.81,13.35,53.5,14.61,52.86,Synthetic data for visualization practice
C_District_02,Chhattisgarh,2021,14.69,36.25,11.99,49.18,16.64,59.15,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2019,10.63,30.37,19.66,47.08,15.92,63.35,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2020,14.96,27.32,16.99,50.31,9.56,61.73,Synthetic data for visualization practice
C_District_03,Chhattisgarh,2021,15.71,33.67,13.36,49.73,16.8,59.13,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2019,15.49,32.11,9.41,49.85,22.37,61.26,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2020,23.69,37.39,15.76,63.25,28.7,48.13,Synthetic data for visualization practice
C_District_04,Chhattisgarh,2021,24.76,39.33,18.07,55.9,29.86,46.72,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2019,22.53,38.75,13.29,52.11,25.26,50.79,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2020,20.83,25.91,16.15,46.28,25.54,58.59,Synthetic data for visualization practice
C_District_05,Chhattisgarh,2021,19.69,40.13,11.88,53.15,15.7,52.64,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2019,22.67,32.56,19.54,54.86,31.18,51.49,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2020,15.64,29.92,9.76,46.89,23.77,62.57,Synthetic data for visualization practice
C_District_06,Chhattisgarh,2021,20.37,31.93,13.22,54.14,24.59,55.65,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2019,15.41,27.15,14.25,51.52,29.61,62.1,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2020,21.86,32.8,14.15,54.98,25.55,53.62,Synthetic data for visualization practice
C_District_07,Chhattisgarh,2021,21.73,33.7,15.89,63.92,30.77,51.41,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2019,26.84,36.51,16.18,57.8,29.35,46.75,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2020,21.03,34.49,15.85,50.04,20.85,53.67,Synthetic data for visualization practice
C_District_08,Chhattisgarh,2021,22.16,33.47,13.6,63.56,15.86,51.92,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2019,21.37,32.48,14.92,48.98,26.88,54.84,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2020,20.11,40.46,15.24,43.4,22.22,52.6,Synthetic data for visualization practice
C_District_09,Chhattisgarh,2021,27.41,40.54,14.83,62.77,22.17,43.93,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2019,11.84,28.88,8.28,43.95,10.69,67.02,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2020,16.91,32.88,11.19,56.56,20.24,58.19,Synthetic data for visualization practice
C_District_10,Chhattisgarh,2021,18.46,25.29,11.88,56.09,11.88,60.6,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2019,20.64,33.42,12.59,52.96,21.72,55.06,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2020,9.23,28.68,9.5,49.6,11.03,67.98,Synthetic data for visualization practice
C_District_11,Chhattisgarh,2021,13.61,27.53,16.92,52.47,10.4,62.4,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2019,15.4,26.55,12.82,50.7,14.97,62.96,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2020,11.7,22.78,7.08,44.32,15.18,70.48,Synthetic data for visualization practice
C_District_12,Chhattisgarh,2021,15.76,25.2,18.42,49.06,24.65,61.91,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2019,23.54,28.86,15.31,49.21,26.45,54.77,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2020,23.71,30.85,13.33,49.93,39.08,54.12,Synthetic data for visualization practice
C_District_13,Chhattisgarh,2021,31.55,37.45,14.59,51.32,31.43,43.96,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2019,14.76,31.0,14.68,53.21,17.66,60.31,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2020,13.41,32.04,13.38,55.16,17.66,60.97,Synthetic data for visualization practice
C_District_14,Chhattisgarh,2021,16.71,25.45,12.29,47.58,25.4,63.09,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2019,25.76,37.75,16.96,64.74,28.11,45.72,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2020,23.12,40.64,16.07,55.51,28.94,48.04,Synthetic data for visualization practice
C_District_15,Chhattisgarh,2021,19.99,37.94,14.87,61.53,19.78,51.35,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2019,18.82,29.45,20.67,53.91,21.72,55.93,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2020,17.67,23.71,12.52,58.4,19.25,61.5,Synthetic data for visualization practice
C_District_16,Chhattisgarh,2021,14.25,35.08,16.91,53.85,17.7,57.91,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2019,17.99,27.91,11.89,50.6,24.37,60.5,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2020,12.65,29.83,13.75,58.73,18.8,62.03,Synthetic data for visualization practice
C_District_17,Chhattisgarh,2021,19.64,34.05,14.27,58.49,21.36,54.21,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2019,18.52,30.76,11.21,50.01,22.34,58.94,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2020,12.26,30.5,16.06,45.43,15.69,63.31,Synthetic data for visualization practice
C_District_18,Chhattisgarh,2021,16.01,29.59,12.28,55.42,22.03,60.4,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2019,21.2,31.06,12.17,57.04,27.15,55.31,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2020,22.31,43.22,19.15,54.96,26.34,46.55,Synthetic data for visualization practice
C_District_19,Chhattisgarh,2021,18.22,28.67,17.47,55.65,17.85,57.5,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2019,25.5,36.71,16.09,66.12,24.24,46.5,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2020,20.45,33.27,15.6,57.1,26.21,53.76,Synthetic data for visualization practice
C_District_20,Chhattisgarh,2021,7.84,22.76,9.55,43.88,9.94,72.9,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2019,20.6,28.44,14.0,58.33,23.66,56.35,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2020,20.78,34.08,20.69,55.42,29.01,51.81,Synthetic data for visualization practice
C_District_21,Chhattisgarh,2021,17.48,31.98,13.99,53.2,19.99,57.85,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2019,16.76,30.55,12.77,52.01,18.55,59.68,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2020,23.81,34.7,16.95,54.77,25.72,50.3,Synthetic data for visualization practice
C_District_22,Chhattisgarh,2021,24.24,38.8,17.84,60.7,29.3,46.75,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2019,21.45,31.19,13.79,56.85,20.46,54.59,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2020,16.44,30.74,13.87,41.61,21.66,61.07,Synthetic data for visualization practice
C_District_23,Chhattisgarh,2021,15.99,30.16,17.54,46.32,17.21,59.92,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2019,8.78,25.25,10.92,53.24,5.86,69.09,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2020,23.83,33.62,18.52,57.39,30.17,49.96,Synthetic data for visualization practice
C_District_24,Chhattisgarh,2021,11.98,26.82,14.88,61.17,18.41,63.36,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2019,11.35,30.45,8.43,52.13,14.37,65.35,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2020,22.31,33.39,16.99,57.36,25.46,51.76,Synthetic data for visualization practice
C_District_25,Chhattisgarh,2021,20.41,31.82,17.04,43.17,14.28,56.18,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2019,25.63,38.33,17.8,55.45,33.71,46.67,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2020,19.57,30.33,17.71,59.59,27.26,54.93,Synthetic data for visualization practice
C_District_26,Chhattisgarh,2021,14.97,27.65,15.57,46.73,18.49,62.52,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2019,22.79,38.58,14.94,55.75,29.2,49.63,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2020,19.47,29.64,15.74,54.3,17.13,56.73,Synthetic data for visualization practice
C_District_27,Chhattisgarh,2021,14.3,35.4,14.08,46.25,16.6,59.7,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2019,27.81,38.44,16.0,67.18,19.0,43.65,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2020,11.21,36.14,12.51,40.62,7.14,63.12,Synthetic data for visualization practice
C_District_28,Chhattisgarh,2021,20.85,34.97,13.12,52.13,17.25,54.08,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2019,23.48,39.12,17.01,50.6,22.67,48.96,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2020,14.56,24.63,13.08,52.99,10.84,64.16,Synthetic data for visualization practice
C_District_29,Chhattisgarh,2021,10.62,27.47,13.91,54.21,12.17,65.46,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2019,18.69,28.0,13.39,56.2,25.32,58.6,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2020,15.64,27.46,16.92,52.56,27.16,60.8,Synthetic data for visualization practice
C_District_30,Chhattisgarh,2021,22.26,34.12,16.52,58.46,14.89,51.41,Synthetic data for visualization practice
G_District_01,Goa,2019,24.7,39.6,18.23,60.94,20.61,45.83,Synthetic data for visualization practice
G_District_01,Goa,2020,21.11,30.24,15.99,47.52,18.68,56.07,Synthetic data for visualization practice
G_District_01,Goa,2021,14.24,26.59,8.59,53.96,11.42,64.65,Synthetic data for visualization practice
G_District_02,Goa,2019,26.09,36.38,18.74,64.57,36.11,45.63,Synthetic data for visualization practice
G_District_02,Goa,2020,20.29,34.36,16.46,54.52,23.97,53.47,Synthetic data for visualization practice
G_District_02,Goa,2021,25.19,40.69,17.49,66.97,25.54,44.21,Synthetic data for visualization practice
G_District_03,Goa,2019,26.84,49.85,13.73,56.0,33.12,41.08,Synthetic data for visualization practice
G_District_03,Goa,2020,21.77,41.77,13.77,60.68,24.69,48.46,Synthetic data for visualization practice
G_District_03,Goa,2021,25.56,32.21,19.91,64.76,29.89,47.76,Synthetic data for visualization practice
G_District_04,Goa,2019,19.05,32.16,16.36,54.54,20.67,55.59,Synthetic data for visualization practice
G_District_04,Goa,2020,11.17,25.14,13.35,49.13,13.3,67.12,Synthetic data for visualization practice
G_District_04,Goa,2021,19.91,30.44,18.64,53.61,20.75,55.21,Synthetic data for visualization practice
G_District_05,Goa,2019,13.85,26.46,15.92,42.32,22.48,64.57,Synthetic data for visualization practice
G_District_05,Goa,2020,26.34,35.01,17.31,64.72,26.92,46.52,Synthetic data for visualization practice
G_District_05,Goa,2021,18.31,29.39,13.38,49.91,15.83,59.16,Synthetic data for visualization practice
G_District_06,Goa,2019,22.39,29.23,12.89,58.53,28.99,54.82,Synthetic data for visualization practice
G_District_06,Goa,2020,26.77,35.18,18.61,58.2,33.8,46.68,Synthetic data for visualization practice
G_District_06,Goa,2021,14.16,35.42,7.19,55.19,18.24,60.53,Synthetic data for visualization practice
G_District_07,Goa,2019,22.07,31.28,13.82,55.69,18.16,54.21,Synthetic data for visualization practice
G_District_07,Goa,2020,18.84,26.06,12.55,60.65,23.93,59.04,Synthetic data for visualization practice
G_District_07,Goa,2021,20.21,32.07,13.4,63.52,21.56,54.25,Synthetic data for visualization practice
G_District_08,Goa,2019,18.95,29.53,13.25,54.37,15.75,57.94,Synthetic data for visualization practice
G_District_08,Goa,2020,18.15,40.35,15.38,41.91,18.85,54.41,Synthetic data for visualization practice
G_District_08,Goa,2021,18.74,32.48,15.3,54.04,21.13,56.08,Synthetic data for visualization practice
G_District_09,Goa,2019,20.18,29.31,22.6,51.54,26.92,54.69,Synthetic data for visualization practice
G_District_09,Goa,2020,15.35,30.91,11.5,49.76,23.33,61.35,Synthetic data for visualization practice
G_District_09,Goa,2021,24.89,37.96,11.79,67.36,29.95,47.47,Synthetic data for visualization practice
G_District_10,Goa,2019,28.64,40.06,15.02,61.37,33.77,43.35,Synthetic data for visualization practice
G_District_10,Goa,2020,17.96,30.88,9.39,59.28,19.77,58.48,Synthetic data for visualization practice
G_District_10,Goa,2021,17.92,29.62,15.38,49.18,22.5,58.87,Synthetic data for visualization practice
G_District_11,Goa,2019,24.53,34.69,13.26,58.39,29.05,50.29,Synthetic data for visualization practice
G_District_11,Goa,2020,12.69,25.98,15.28,48.43,15.95,65.01,Synthetic data for visualization practice
G_District_11,Goa,2021,25.55,37.46,17.23,56.76,23.06,47.15,Synthetic data for visualization practice
G_District_12,Goa,2019,14.56,31.8,13.19,50.78,8.47,60.87,Synthetic data for visualization practice
G_District_12,Goa,2020,18.24,29.67,11.72,62.72,28.92,57.64,Synthetic data for visualization practice
G_District_12,Goa,2021,16.84,25.21,13.88,50.58,29.9,62.18,Synthetic data for visualization practice
G_District_13,Goa,2019,26.73,38.6,14.95,62.99,34.17,45.38,Synthetic data for visualization practice
G_District_13,Goa,2020,15.99,33.24,9.93,60.38,17.9,58.55,Synthetic data for visualization practice
G_District_13,Goa,2021,22.85,30.27,13.41,51.04,21.84,54.91,Synthetic data for visualization practice
G_District_14,Goa,2019,19.41,28.62,11.69,54.37,25.1,58.5,Synthetic data for visualization practice
G_District_14,Goa,2020,16.7,37.37,13.97,59.2,21.37,54.88,Synthetic data for visualization practice
G_District_14,Goa,2021,19.23,32.35,10.56,61.64,20.9,56.02,Synthetic data for visualization practice
G_District_15,Goa,2019,19.17,31.89,12.63,60.64,26.24,55.83,Synthetic data for visualization practice
G_District_15,Goa,2020,20.86,38.9,18.11,59.38,23.19,49.52,Synthetic data for visualization practice
G_District_15,Goa,2021,11.0,24.03,14.57,50.0,11.06,67.32,Synthetic data for visualization practice
G_District_16,Goa,2019,13.42,29.17,9.22,53.37,19.82,63.91,Synthetic data for visualization practice
G_District_16,Goa,2020,25.81,39.59,15.39,62.86,23.79,45.51,Synthetic data for visualization practice
G_District_16,Goa,2021,10.36,29.03,7.19,48.55,11.36,67.76,Synthetic data for visualization practice
G_District_17,Goa,2019,17.52,33.33,14.43,60.39,25.0,55.94,Synthetic data for visualization practice
G_District_17,Goa,2020,18.08,30.96,11.16,55.78,24.34,58.34,Synthetic data for visualization practice
G_District_17,Goa,2021,30.04,36.03,16.84,58.65,28.42,44.11,Synthetic data for visualization practice
G_District_18,Goa,2019,19.27,36.95,13.28,59.46,22.61,53.21,Synthetic data for visualization practice
G_District_18,Goa,2020,20.0,31.74,21.07,50.92,23.7,54.17,Synthetic data for visualization practice
G_District_18,Goa,2021,16.86,38.42,16.43,49.57,22.02,54.94,Synthetic data for visualization practice
G_District_19,Goa,2019,19.6,35.81,15.87,55.82,25.72,53.28,Synthetic data for visualization practice
G_District_19,Goa,2020,21.29,34.63,15.47,52.63,23.63,53.12,Synthetic data for visualization practice
G_District_19,Goa,2021,23.53,36.65,15.08,66.09,35.78,48.42,Synthetic data for visualization practice
G_District_20,Goa,2019,13.39,30.66,9.91,48.31,16.9,63.74,Synthetic data for visualization practice
G_District_20,Goa,2020,11.56,26.36,9.17,54.94,6.98,66.58,Synthetic data for visualization practice
G_District_20,Goa,2021,16.48,28.26,18.12,56.46,12.89,58.78,Synthetic data for visualization practice
G_District_21,Goa,2019,18.43,31.09,14.18,60.34,17.48,56.41,Synthetic data for visualization practice
G_District_21,Goa,2020,17.54,35.46,16.41,52.6,18.66,55.43,Synthetic data for visualization practice
G_District_21,Goa,2021,13.82,25.37,14.25,50.29,21.88,64.44,Synthetic data for visualization practice
G_District_22,Goa,2019,18.88,31.44,15.19,50.75,28.08,57.01,Synthetic data for visualization practice
G_District_22,Goa,2020,26.68,37.83,21.16,51.85,30.82,45.62,Synthetic data for visualization practice
G_District_22,Goa,2021,19.51,29.07,15.63,49.15,20.75,57.79,Synthetic data for visualization practice
