State,Year,Measure,Value,Dataset_Status
Gujarat,2017,Beneficiaries_Lakh,20.42,Synthetic data for visualization practice
Gujarat,2017,Foodgrain_Allocation_Lakh_Tonnes,10.8,Synthetic data for visualization practice
Gujarat,2017,Foodgrain_Distribution_Lakh_Tonnes,9.83,Synthetic data for visualization practice
Gujarat,2017,Coverage_Percent,98.0,Synthetic data for visualization practice
Gujarat,2017,Utilization_Percent,91.02,Synthetic data for visualization practice
Haryana,2017,Beneficiaries_Lakh,23.61,Synthetic data for visualization practice
Haryana,2017,Foodgrain_Allocation_Lakh_Tonnes,12.24,Synthetic data for visualization practice
Haryana,2017,Foodgrain_Distribution_Lakh_Tonnes,10.24,Synthetic data for visualization practice
Haryana,2017,Coverage_Percent,77.0,Synthetic data for visualization practice
Haryana,2017,Utilization_Percent,83.65,Synthetic data for visualization practice
Himachal Pradesh,2017,Beneficiaries_Lakh,21.19,Synthetic data for visualization practice
Himachal Pradesh,2017,Foodgrain_Allocation_Lakh_Tonnes,10.96,Synthetic data for visualization practice
Himachal Pradesh,2017,Foodgrain_Distribution_Lakh_Tonnes,9.87,Synthetic data for visualization practice
Himachal Pradesh,2017,Coverage_Percent,74.93,Synthetic data for visualization practice
Himachal Pradesh,2017,Utilization_Percent,90.08,Synthetic data for visualization practice
Jharkhand,2017,Beneficiaries_Lakh,33.01,Synthetic data for visualization practice
Jharkhand,2017,Foodgrain_Allocation_Lakh_Tonnes,17.43,Synthetic data for visualization practice
Jharkhand,2017,Foodgrain_Distribution_Lakh_Tonnes,14.64,Synthetic data for visualization practice
Jharkhand,2017,Coverage_Percent,87.6,Synthetic data for visualization practice
Jharkhand,2017,Utilization_Percent,83.99,Synthetic data for visualization practice
Karnataka,2017,Beneficiaries_Lakh,4.5,Synthetic data for visualization practice
Karnataka,2017,Foodgrain_Allocation_Lakh_Tonnes,2.6,Synthetic data for visualization practice
Karnataka,2017,Foodgrain_Distribution_Lakh_Tonnes,2.38,Synthetic data for visualization practice
Karnataka,2017,Coverage_Percent,90.63,Synthetic data for visualization practice
Karnataka,2017,Utilization_Percent,91.41,Synthetic data for visualization practice
Kerala,2017,Beneficiaries_Lakh,26.75,Synthetic data for visualization practice
Kerala,2017,Foodgrain_Allocation_Lakh_Tonnes,11.34,Synthetic data for visualization practice
Kerala,2017,Foodgrain_Distribution_Lakh_Tonnes,10.43,Synthetic data for visualization practice
Kerala,2017,Coverage_Percent,73.99,Synthetic data for visualization practice
Kerala,2017,Utilization_Percent,91.97,Synthetic data for visualization practice
Madhya Pradesh,2017,Beneficiaries_Lakh,32.6,Synthetic data for visualization practice
Madhya Pradesh,2017,Foodgrain_Allocation_Lakh_Tonnes,17.38,Synthetic data for visualization practice
Madhya Pradesh,2017,Foodgrain_Distribution_Lakh_Tonnes,15.24,Synthetic data for visualization practice
Madhya Pradesh,2017,Coverage_Percent,82.84,Synthetic data for visualization practice
Madhya Pradesh,2017,Utilization_Percent,87.67,Synthetic data for visualization practice
Maharashtra,2017,Beneficiaries_Lakh,4.59,Synthetic data for visualization practice
Maharashtra,2017,Foodgrain_Allocation_Lakh_Tonnes,2.49,Synthetic data for visualization practice
Maharashtra,2017,Foodgrain_Distribution_Lakh_Tonnes,2.22,Synthetic data for visualization practice
Maharashtra,2017,Coverage_Percent,78.91,Synthetic data for visualization practice
Maharashtra,2017,Utilization_Percent,88.98,Synthetic data for visualization practice
Manipur,2017,Beneficiaries_Lakh,23.02,Synthetic data for visualization practice
Manipur,2017,Foodgrain_Allocation_Lakh_Tonnes,12.59,Synthetic data for visualization practice
Manipur,2017,Foodgrain_Distribution_Lakh_Tonnes,12.34,Synthetic data for visualization practice
Manipur,2017,Coverage_Percent,83.28,Synthetic data for visualization practice
Manipur,2017,Utilization_Percent,98.0,Synthetic data for visualization practice
Meghalaya,2017,Beneficiaries_Lakh,11.09,Synthetic data for visualization practice
Meghalaya,2017,Foodgrain_Allocation_Lakh_Tonnes,6.73,Synthetic data for visualization practice
Meghalaya,2017,Foodgrain_Distribution_Lakh_Tonnes,6.18,Synthetic data for visualization practice
Meghalaya,2017,Coverage_Percent,87.37,Synthetic data for visualization practice
Meghalaya,2017,Utilization_Percent,91.8,Synthetic data for visualization practice
Mizoram,2017,Beneficiaries_Lakh,22.65,Synthetic data for visualization practice
Mizoram,2017,Foodgrain_Allocation_Lakh_Tonnes,9.76,Synthetic data for visualization practice
Mizoram,2017,Foodgrain_Distribution_Lakh_Tonnes,8.73,Synthetic data for visualization practice
Mizoram,2017,Coverage_Percent,81.2,Synthetic data for visualization practice
Mizoram,2017,Utilization_Percent,89.42,Synthetic data for visualization practice
Nagaland,2017,Beneficiaries_Lakh,39.43,Synthetic data for visualization practice
Nagaland,2017,Foodgrain_Allocation_Lakh_Tonnes,17.76,Synthetic data for visualization practice
Nagaland,2017,Foodgrain_Distribution_Lakh_Tonnes,15.59,Synthetic data for visualization practice
Nagaland,2017,Coverage_Percent,69.81,Synthetic data for visualization practice
Nagaland,2017,Utilization_Percent,87.73,Synthetic data for visualization practice
Odisha,2017,Beneficiaries_Lakh,7.52,Synthetic data for visualization practice
Odisha,2017,Foodgrain_Allocation_Lakh_Tonnes,4.33,Synthetic data for visualization practice
Odisha,2017,Foodgrain_Distribution_Lakh_Tonnes,3.61,Synthetic data for visualization practice
Odisha,2017,Coverage_Percent,78.7,Synthetic data for visualization practice
Odisha,2017,Utilization_Percent,83.19,Synthetic data for visualization practice
Punjab,2017,Beneficiaries_Lakh,11.98,Synthetic data for visualization practice
Punjab,2017,Foodgrain_Allocation_Lakh_Tonnes,5.09,Synthetic data for visualization practice
Punjab,2017,Foodgrain_Distribution_Lakh_Tonnes,4.46,Synthetic data for visualization practice
Punjab,2017,Coverage_Percent,81.58,Synthetic data for visualization practice
Punjab,2017,Utilization_Percent,87.66,Synthetic data for visualization practice
Rajasthan,2017,Beneficiaries_Lakh,18.55,Synthetic data for visualization practice
Rajasthan,2017,Foodgrain_Allocation_Lakh_Tonnes,9.54,Synthetic data for visualization practice
Rajasthan,2017,Foodgrain_Distribution_Lakh_Tonnes,7.39,Synthetic data for visualization practice
Rajasthan,2017,Coverage_Percent,80.56,Synthetic data for visualization practice
Rajasthan,2017,Utilization_Percent,77.48,Synthetic data for visualization practice
Sikkim,2017,Beneficiaries_Lakh,18.93,Synthetic data for visualization practice
Sikkim,2017,Foodgrain_Allocation_Lakh_Tonnes,8.66,Synthetic data for visualization practice
Sikkim,2017,Foodgrain_Distribution_Lakh_Tonnes,7.4,Synthetic data for visualization practice
Sikkim,2017,Coverage_Percent,81.28,Synthetic data for visualization practice
Sikkim,2017,Utilization_Percent,85.5,Synthetic data for visualization practice
Tamil Nadu,2017,Beneficiaries_Lakh,22.64,Synthetic data for visualization practice
Tamil Nadu,2017,Foodgrain_Allocation_Lakh_Tonnes,10.01,Synthetic data for visualization practice
Tamil Nadu,2017,Foodgrain_Distribution_Lakh_Tonnes,8.57,Synthetic data for visualization practice
Tamil Nadu,2017,Coverage_Percent,88.2,Synthetic data for visualization practice
Tamil Nadu,2017,Utilization_Percent,85.56,Synthetic data for visualization practice
Telangana,2017,Beneficiaries_Lakh,13.07,Synthetic data for visualization practice
Telangana,2017,Foodgrain_Allocation_Lakh_Tonnes,7.13,Synthetic data for visualization practice
Telangana,2017,Foodgrain_Distribution_Lakh_Tonnes,6.13,Synthetic data for visualization practice
Telangana,2017,Coverage_Percent,98.0,Synthetic data for visualization practice
Telangana,2017,Utilization_Percent,86.07,Synthetic data for visualization practice
Tripura,2017,Beneficiaries_Lakh,18.36,Synthetic data for visualization practice
Tripura,2017,Foodgrain_Allocation_Lakh_Tonnes,8.56,Synthetic data for visualization practice
Tripura,2017,Foodgrain_Distribution_Lakh_Tonnes,7.2,Synthetic data for visualization practice
Tripura,2017,Coverage_Percent,85.69,Synthetic data for visualization practice
Tripura,2017,Utilization_Percent,84.17,Synthetic data for visualization practice
Uttar Pradesh,2017,Beneficiaries_Lakh,13.95,Synthetic data for visualization practice
Uttar Pradesh,2017,Foodgrain_Allocation_Lakh_Tonnes,6.92,Synthetic data for visualization practice
Uttar Pradesh,2017,Foodgrain_Distribution_Lakh_Tonnes,5.78,Synthetic data for visualization practice
Uttar Pradesh,2017,Coverage_Percent,73.99,Synthetic data for visualization practice
Uttar Pradesh,2017,Utilization_Percent,83.52,Synthetic data for visualization practice
Uttarakhand,2017,Beneficiaries_Lakh,12.44,Synthetic data for visualization practice
Uttarakhand,2017,Foodgrain_Allocation_Lakh_Tonnes,7.34,Synthetic data for visualization practice
Uttarakhand,2017,Foodgrain_Distribution_Lakh_Tonnes,7.1,Synthetic data for visualization practice
Uttarakhand,2017,Coverage_Percent,76.39,Synthetic data for visualization practice
Uttarakhand,2017,Utilization_Percent,96.83,Synthetic data for visualization practice
West Bengal,2017,Beneficiaries_Lakh,11.91,Synthetic data for visualization practice
West Bengal,2017,Foodgrain_Allocation_Lakh_Tonnes,7.13,Synthetic data for visualization practice
West Bengal,2017,Foodgrain_Distribution_Lakh_Tonnes,6.22,Synthetic data for visualization practice
West Bengal,2017,Coverage_Percent,73.4,Synthetic data for visualization practice
West Bengal,2017,Utilization_Percent,87.18,Synthetic data for visualization practice
Delhi,2017,Beneficiaries_Lakh,18.88,Synthetic data for visualization practice
Delhi,2017,Foodgrain_Allocation_Lakh_Tonnes,9.92,Synthetic data for visualization practice
Delhi,2017,Foodgrain_Distribution_Lakh_Tonnes,8.88,Synthetic data for visualization practice
Delhi,2017,Coverage_Percent,78.63,Synthetic data for visualization practice
Delhi,2017,Utilization_Percent,89.53,Synthetic data for visualization practice
Jammu and Kashmir,2017,Beneficiaries_Lakh,32.63,Synthetic data for visualization practice
Jammu and Kashmir,2017,Foodgrain_Allocation_Lakh_Tonnes,18.03,Synthetic data for visualization practice
Jammu and Kashmir,2017,Foodgrain_Distribution_Lakh_Tonnes,16.01,Synthetic data for visualization practice
Jammu and Kashmir,2017,Coverage_Percent,95.82,Synthetic data for visualization practice
Jammu and Kashmir,2017,Utilization_Percent,88.81,Synthetic data for visualization practice
Andhra Pradesh,2018,Beneficiaries_Lakh,14.94,Synthetic data for visualization practice
Andhra Pradesh,2018,Foodgrain_Allocation_Lakh_Tonnes,7.42,Synthetic data for visualization practice
Andhra Pradesh,2018,Foodgrain_Distribution_Lakh_Tonnes,6.41,Synthetic data for visualization practice
Andhra Pradesh,2018,Coverage_Percent,85.04,Synthetic data for visualization practice
Andhra Pradesh,2018,Utilization_Percent,86.36,Synthetic data for visualization practice
Arunachal Pradesh,2018,Beneficiaries_Lakh,8.93,Synthetic data for visualization practice
Arunachal Pradesh,2018,Foodgrain_Allocation_Lakh_Tonnes,4.77,Synthetic data for visualization practice
Arunachal Pradesh,2018,Foodgrain_Distribution_Lakh_Tonnes,4.26,Synthetic data for visualization practice
Arunachal Pradesh,2018,Coverage_Percent,91.68,Synthetic data for visualization practice
Arunachal Pradesh,2018,Utilization_Percent,89.31,Synthetic data for visualization practice
Assam,2018,Beneficiaries_Lakh,10.08,Synthetic data for visualization practice
Assam,2018,Foodgrain_Allocation_Lakh_Tonnes,5.21,Synthetic data for visualization practice
Assam,2018,Foodgrain_Distribution_Lakh_Tonnes,4.65,Synthetic data for visualization practice
Assam,2018,Coverage_Percent,76.3,Synthetic data for visualization practice
Assam,2018,Utilization_Percent,89.33,Synthetic data for visualization practice
Bihar,2018,Beneficiaries_Lakh,44.62,Synthetic data for visualization practice
Bihar,2018,Foodgrain_Allocation_Lakh_Tonnes,19.2,Synthetic data for visualization practice
Bihar,2018,Foodgrain_Distribution_Lakh_Tonnes,17.62,Synthetic data for visualization practice
Bihar,2018,Coverage_Percent,78.76,Synthetic data for visualization practice
Bihar,2018,Utilization_Percent,91.74,Synthetic data for visualization practice
Chhattisgarh,2018,Beneficiaries_Lakh,13.09,Synthetic data for visualization practice
Chhattisgarh,2018,Foodgrain_Allocation_Lakh_Tonnes,5.84,Synthetic data for visualization practice
Chhattisgarh,2018,Foodgrain_Distribution_Lakh_Tonnes,5.48,Synthetic data for visualization practice
Chhattisgarh,2018,Coverage_Percent,65.57,Synthetic data for visualization practice
Chhattisgarh,2018,Utilization_Percent,93.84,Synthetic data for visualization practice
Goa,2018,Beneficiaries_Lakh,18.57,Synthetic data for visualization practice
Goa,2018,Foodgrain_Allocation_Lakh_Tonnes,9.47,Synthetic data for visualization practice
Goa,2018,Foodgrain_Distribution_Lakh_Tonnes,8.65,Synthetic data for visualization practice
Goa,2018,Coverage_Percent,76.93,Synthetic data for visualization practice
Goa,2018,Utilization_Percent,91.36,Synthetic data for visualization practice
Gujarat,2018,Beneficiaries_Lakh,41.94,Synthetic data for visualization practice
Gujarat,2018,Foodgrain_Allocation_Lakh_Tonnes,20.5,Synthetic data for visualization practice
Gujarat,2018,Foodgrain_Distribution_Lakh_Tonnes,18.63,Synthetic data for visualization practice
Gujarat,2018,Coverage_Percent,84.67,Synthetic data for visualization practice
Gujarat,2018,Utilization_Percent,90.87,Synthetic data for visualization practice
Haryana,2018,Beneficiaries_Lakh,24.6,Synthetic data for visualization practice
Haryana,2018,Foodgrain_Allocation_Lakh_Tonnes,10.59,Synthetic data for visualization practice
Haryana,2018,Foodgrain_Distribution_Lakh_Tonnes,8.92,Synthetic data for visualization practice
Haryana,2018,Coverage_Percent,72.2,Synthetic data for visualization practice
Haryana,2018,Utilization_Percent,84.25,Synthetic data for visualization practice
Himachal Pradesh,2018,Beneficiaries_Lakh,34.04,Synthetic data for visualization practice
Himachal Pradesh,2018,Foodgrain_Allocation_Lakh_Tonnes,18.27,Synthetic data for visualization practice
Himachal Pradesh,2018,Foodgrain_Distribution_Lakh_Tonnes,16.47,Synthetic data for visualization practice
Himachal Pradesh,2018,Coverage_Percent,80.12,Synthetic data for visualization practice
Himachal Pradesh,2018,Utilization_Percent,90.14,Synthetic data for visualization practice
Jharkhand,2018,Beneficiaries_Lakh,29.33,Synthetic data for visualization practice
Jharkhand,2018,Foodgrain_Allocation_Lakh_Tonnes,16.91,Synthetic data for visualization practice
Jharkhand,2018,Foodgrain_Distribution_Lakh_Tonnes,15.41,Synthetic data for visualization practice
Jharkhand,2018,Coverage_Percent,78.51,Synthetic data for visualization practice
Jharkhand,2018,Utilization_Percent,91.16,Synthetic data for visualization practice
Karnataka,2018,Beneficiaries_Lakh,23.32,Synthetic data for visualization practice
Karnataka,2018,Foodgrain_Allocation_Lakh_Tonnes,10.08,Synthetic data for visualization practice
Karnataka,2018,Foodgrain_Distribution_Lakh_Tonnes,8.73,Synthetic data for visualization practice
Karnataka,2018,Coverage_Percent,91.61,Synthetic data for visualization practice
Karnataka,2018,Utilization_Percent,86.6,Synthetic data for visualization practice
Kerala,2018,Beneficiaries_Lakh,45.16,Synthetic data for visualization practice
Kerala,2018,Foodgrain_Allocation_Lakh_Tonnes,25.73,Synthetic data for visualization practice
Kerala,2018,Foodgrain_Distribution_Lakh_Tonnes,22.34,Synthetic data for visualization practice
Kerala,2018,Coverage_Percent,89.31,Synthetic data for visualization practice
Kerala,2018,Utilization_Percent,86.81,Synthetic data for visualization practice
Madhya Pradesh,2018,Beneficiaries_Lakh,29.92,Synthetic data for visualization practice
Madhya Pradesh,2018,Foodgrain_Allocation_Lakh_Tonnes,18.33,Synthetic data for visualization practice
Madhya Pradesh,2018,Foodgrain_Distribution_Lakh_Tonnes,15.75,Synthetic data for visualization practice
Madhya Pradesh,2018,Coverage_Percent,91.08,Synthetic data for visualization practice
Madhya Pradesh,2018,Utilization_Percent,85.93,Synthetic data for visualization practice
Maharashtra,2018,Beneficiaries_Lakh,22.82,Synthetic data for visualization practice
Maharashtra,2018,Foodgrain_Allocation_Lakh_Tonnes,9.88,Synthetic data for visualization practice
Maharashtra,2018,Foodgrain_Distribution_Lakh_Tonnes,8.54,Synthetic data for visualization practice
Maharashtra,2018,Coverage_Percent,79.27,Synthetic data for visualization practice
Maharashtra,2018,Utilization_Percent,86.45,Synthetic data for visualization practice
Manipur,2018,Beneficiaries_Lakh,7.35,Synthetic data for visualization practice
Manipur,2018,Foodgrain_Allocation_Lakh_Tonnes,4.1,Synthetic data for visualization practice
Manipur,2018,Foodgrain_Distribution_Lakh_Tonnes,3.56,Synthetic data for visualization practice
Manipur,2018,Coverage_Percent,83.23,Synthetic data for visualization practice
Manipur,2018,Utilization_Percent,86.69,Synthetic data for visualization practice
Meghalaya,2018,Beneficiaries_Lakh,45.91,Synthetic data for visualization practice
Meghalaya,2018,Foodgrain_Allocation_Lakh_Tonnes,23.63,Synthetic data for visualization practice
Meghalaya,2018,Foodgrain_Distribution_Lakh_Tonnes,19.84,Synthetic data for visualization practice
Meghalaya,2018,Coverage_Percent,80.31,Synthetic data for visualization practice
Meghalaya,2018,Utilization_Percent,83.97,Synthetic data for visualization practice
Mizoram,2018,Beneficiaries_Lakh,14.44,Synthetic data for visualization practice
Mizoram,2018,Foodgrain_Allocation_Lakh_Tonnes,7.76,Synthetic data for visualization practice
Mizoram,2018,Foodgrain_Distribution_Lakh_Tonnes,6.6,Synthetic data for visualization practice
Mizoram,2018,Coverage_Percent,79.49,Synthetic data for visualization practice
Mizoram,2018,Utilization_Percent,85.01,Synthetic data for visualization practice
Nagaland,2018,Beneficiaries_Lakh,27.67,Synthetic data for visualization practice
Nagaland,2018,Foodgrain_Allocation_Lakh_Tonnes,12.81,Synthetic data for visualization practice
Nagaland,2018,Foodgrain_Distribution_Lakh_Tonnes,10.37,Synthetic data for visualization practice
Nagaland,2018,Coverage_Percent,85.38,Synthetic data for visualization practice
Nagaland,2018,Utilization_Percent,80.94,Synthetic data for visualization practice
Odisha,2018,Beneficiaries_Lakh,37.7,Synthetic data for visualization practice
Odisha,2018,Foodgrain_Allocation_Lakh_Tonnes,18.81,Synthetic data for visualization practice
Odisha,2018,Foodgrain_Distribution_Lakh_Tonnes,17.61,Synthetic data for visualization practice
Odisha,2018,Coverage_Percent,74.97,Synthetic data for visualization practice
Odisha,2018,Utilization_Percent,93.63,Synthetic data for visualization practice
Punjab,2018,Beneficiaries_Lakh,25.83,Synthetic data for visualization practice
Punjab,2018,Foodgrain_Allocation_Lakh_Tonnes,13.53,Synthetic data for visualization practice
Punjab,2018,Foodgrain_Distribution_Lakh_Tonnes,12.36,Synthetic data for visualization practice
Punjab,2018,Coverage_Percent,84.81,Synthetic data for visualization practice
Punjab,2018,Utilization_Percent,91.35,Synthetic data for visualization practice
Rajasthan,2018,Beneficiaries_Lakh,21.93,Synthetic data for visualization practice
Rajasthan,2018,Foodgrain_Allocation_Lakh_Tonnes,9.97,Synthetic data for visualization practice
Rajasthan,2018,Foodgrain_Distribution_Lakh_Tonnes,9.36,Synthetic data for visualization practice
Rajasthan,2018,Coverage_Percent,89.59,Synthetic data for visualization practice
Rajasthan,2018,Utilization_Percent,93.81,Synthetic data for visualization practice
Sikkim,2018,Beneficiaries_Lakh,34.88,Synthetic data for visualization practice
Sikkim,2018,Foodgrain_Allocation_Lakh_Tonnes,18.24,Synthetic data for visualization practice
Sikkim,2018,Foodgrain_Distribution_Lakh_Tonnes,15.36,Synthetic data for visualization practice
Sikkim,2018,Coverage_Percent,80.81,Synthetic data for visualization practice
Sikkim,2018,Utilization_Percent,84.22,Synthetic data for visualization practice
Tamil Nadu,2018,Beneficiaries_Lakh,33.72,Synthetic data for visualization practice
Tamil Nadu,2018,Foodgrain_Allocation_Lakh_Tonnes,19.38,Synthetic data for visualization practice
Tamil Nadu,2018,Foodgrain_Distribution_Lakh_Tonnes,17.87,Synthetic data for visualization practice
Tamil Nadu,2018,Coverage_Percent,82.98,Synthetic data for visualization practice
Tamil Nadu,2018,Utilization_Percent,92.19,Synthetic data for visualization practice
Telangana,2018,Beneficiaries_Lakh,7.72,Synthetic data for visualization practice
Telangana,2018,Foodgrain_Allocation_Lakh_Tonnes,3.88,Synthetic data for visualization practice
Telangana,2018,Foodgrain_Distribution_Lakh_Tonnes,3.4,Synthetic data for visualization practice
Telangana,2018,Coverage_Percent,72.37,Synthetic data for visualization practice
Telangana,2018,Utilization_Percent,87.59,Synthetic data for visualization practice
Tripura,2018,Beneficiaries_Lakh,19.77,Synthetic data for visualization practice
Tripura,2018,Foodgrain_Allocation_Lakh_Tonnes,10.71,Synthetic data for visualization practice
Tripura,2018,Foodgrain_Distribution_Lakh_Tonnes,8.68,Synthetic data for visualization practice
Tripura,2018,Coverage_Percent,80.74,Synthetic data for visualization practice
Tripura,2018,Utilization_Percent,80.99,Synthetic data for visualization practice
Uttar Pradesh,2018,Beneficiaries_Lakh,13.49,Synthetic data for visualization practice
Uttar Pradesh,2018,Foodgrain_Allocation_Lakh_Tonnes,7.85,Synthetic data for visualization practice
Uttar Pradesh,2018,Foodgrain_Distribution_Lakh_Tonnes,7.6,Synthetic data for visualization practice
Uttar Pradesh,2018,Coverage_Percent,83.0,Synthetic data for visualization practice
Uttar Pradesh,2018,Utilization_Percent,96.85,Synthetic data for visualization practice
Uttarakhand,2018,Beneficiaries_Lakh,27.66,Synthetic data for visualization practice
Uttarakhand,2018,Foodgrain_Allocation_Lakh_Tonnes,12.88,Synthetic data for visualization practice
Uttarakhand,2018,Foodgrain_Distribution_Lakh_Tonnes,10.99,Synthetic data for visualization practice
Uttarakhand,2018,Coverage_Percent,77.56,Synthetic data for visualization practice
Uttarakhand,2018,Utilization_Percent,85.32,Synthetic data for visualization practice
West Bengal,2018,Beneficiaries_Lakh,38.07,Synthetic data for visualization practice
West Bengal,2018,Foodgrain_Allocation_Lakh_Tonnes,21.78,Synthetic data for visualization practice
West Bengal,2018,Foodgrain_Distribution_Lakh_Tonnes,20.29,Synthetic data for visualization practice
West Bengal,2018,Coverage_Percent,93.36,Synthetic data for visualization practice
West Bengal,2018,Utilization_Percent,93.14,Synthetic data for visualization practice
Delhi,2018,Beneficiaries_Lakh,20.94,Synthetic data for visualization practice
Delhi,2018,Foodgrain_Allocation_Lakh_Tonnes,12.77,Synthetic data for visualization practice
Delhi,2018,Foodgrain_Distribution_Lakh_Tonnes,11.33,Synthetic data for visualization practice
Delhi,2018,Coverage_Percent,73.46,Synthetic data for visualization practice
Delhi,2018,Utilization_Percent,88.73,Synthetic data for visualization practice
Jammu and Kashmir,2018,Beneficiaries_Lakh,12.76,Synthetic data for visualization practice
Jammu and Kashmir,2018,Foodgrain_Allocation_Lakh_Tonnes,5.72,Synthetic data for visualization practice
Jammu and Kashmir,2018,Foodgrain_Distribution_Lakh_Tonnes,5.49,Synthetic data for visualization practice
Jammu and Kashmir,2018,Coverage_Percent,81.89,Synthetic data for visualization practice
Jammu and Kashmir,2018,Utilization_Percent,95.96,Synthetic data for visualization practice
Andhra Pradesh,2019,Beneficiaries_Lakh,14.99,Synthetic data for visualization practice
Andhra Pradesh,2019,Foodgrain_Allocation_Lakh_Tonnes,9.17,Synthetic data for visualization practice
Andhra Pradesh,2019,Foodgrain_Distribution_Lakh_Tonnes,7.79,Synthetic data for visualization practice
Andhra Pradesh,2019,Coverage_Percent,97.31,Synthetic data for visualization practice
Andhra Pradesh,2019,Utilization_Percent,84.95,Synthetic data for visualization practice
Arunachal Pradesh,2019,Beneficiaries_Lakh,23.46,Synthetic data for visualization practice
Arunachal Pradesh,2019,Foodgrain_Allocation_Lakh_Tonnes,12.56,Synthetic data for visualization practice
Arunachal Pradesh,2019,Foodgrain_Distribution_Lakh_Tonnes,11.63,Synthetic data for visualization practice
Arunachal Pradesh,2019,Coverage_Percent,72.5,Synthetic data for visualization practice
Arunachal Pradesh,2019,Utilization_Percent,92.56,Synthetic data for visualization practice
Assam,2019,Beneficiaries_Lakh,6.87,Synthetic data for visualization practice
Assam,2019,Foodgrain_Allocation_Lakh_Tonnes,4.06,Synthetic data for visualization practice
Assam,2019,Foodgrain_Distribution_Lakh_Tonnes,3.96,Synthetic data for visualization practice
Assam,2019,Coverage_Percent,78.84,Synthetic data for visualization practice
Assam,2019,Utilization_Percent,97.49,Synthetic data for visualization practice
Bihar,2019,Beneficiaries_Lakh,18.3,Synthetic data for visualization practice
Bihar,2019,Foodgrain_Allocation_Lakh_Tonnes,10.01,Synthetic data for visualization practice
Bihar,2019,Foodgrain_Distribution_Lakh_Tonnes,8.89,Synthetic data for visualization practice
Bihar,2019,Coverage_Percent,87.53,Synthetic data for visualization practice
Bihar,2019,Utilization_Percent,88.81,Synthetic data for visualization practice
Chhattisgarh,2019,Beneficiaries_Lakh,45.48,Synthetic data for visualization practice
Chhattisgarh,2019,Foodgrain_Allocation_Lakh_Tonnes,24.08,Synthetic data for visualization practice
Chhattisgarh,2019,Foodgrain_Distribution_Lakh_Tonnes,20.35,Synthetic data for visualization practice
Chhattisgarh,2019,Coverage_Percent,85.76,Synthetic data for visualization practice
Chhattisgarh,2019,Utilization_Percent,84.5,Synthetic data for visualization practice
Goa,2019,Beneficiaries_Lakh,37.05,Synthetic data for visualization practice
Goa,2019,Foodgrain_Allocation_Lakh_Tonnes,22.8,Synthetic data for visualization practice
Goa,2019,Foodgrain_Distribution_Lakh_Tonnes,20.14,Synthetic data for visualization practice
Goa,2019,Coverage_Percent,87.56,Synthetic data for visualization practice
Goa,2019,Utilization_Percent,88.34,Synthetic data for visualization practice
Gujarat,2019,Beneficiaries_Lakh,24.39,Synthetic data for visualization practice
Gujarat,2019,Foodgrain_Allocation_Lakh_Tonnes,11.54,Synthetic data for visualization practice
Gujarat,2019,Foodgrain_Distribution_Lakh_Tonnes,9.32,Synthetic data for visualization practice
Gujarat,2019,Coverage_Percent,79.15,Synthetic data for visualization practice
Gujarat,2019,Utilization_Percent,80.78,Synthetic data for visualization practice
Haryana,2019,Beneficiaries_Lakh,22.25,Synthetic data for visualization practice
Haryana,2019,Foodgrain_Allocation_Lakh_Tonnes,9.98,Synthetic data for visualization practice
Haryana,2019,Foodgrain_Distribution_Lakh_Tonnes,9.3,Synthetic data for visualization practice
Haryana,2019,Coverage_Percent,84.11,Synthetic data for visualization practice
Haryana,2019,Utilization_Percent,93.15,Synthetic data for visualization practice
Himachal Pradesh,2019,Beneficiaries_Lakh,31.15,Synthetic data for visualization practice
Himachal Pradesh,2019,Foodgrain_Allocation_Lakh_Tonnes,15.92,Synthetic data for visualization practice
Himachal Pradesh,2019,Foodgrain_Distribution_Lakh_Tonnes,14.96,Synthetic data for visualization practice
Himachal Pradesh,2019,Coverage_Percent,81.07,Synthetic data for visualization practice
Himachal Pradesh,2019,Utilization_Percent,93.97,Synthetic data for visualization practice
Jharkhand,2019,Beneficiaries_Lakh,36.41,Synthetic data for visualization practice
Jharkhand,2019,Foodgrain_Allocation_Lakh_Tonnes,20.96,Synthetic data for visualization practice
Jharkhand,2019,Foodgrain_Distribution_Lakh_Tonnes,15.99,Synthetic data for visualization practice
Jharkhand,2019,Coverage_Percent,94.57,Synthetic data for visualization practice
Jharkhand,2019,Utilization_Percent,76.31,Synthetic data for visualization practice
Karnataka,2019,Beneficiaries_Lakh,7.64,Synthetic data for visualization practice
Karnataka,2019,Foodgrain_Allocation_Lakh_Tonnes,3.48,Synthetic data for visualization practice
Karnataka,2019,Foodgrain_Distribution_Lakh_Tonnes,3.24,Synthetic data for visualization practice
Karnataka,2019,Coverage_Percent,74.2,Synthetic data for visualization practice
Karnataka,2019,Utilization_Percent,93.14,Synthetic data for visualization practice
Kerala,2019,Beneficiaries_Lakh,23.49,Synthetic data for visualization practice
Kerala,2019,Foodgrain_Allocation_Lakh_Tonnes,13.42,Synthetic data for visualization practice
Kerala,2019,Foodgrain_Distribution_Lakh_Tonnes,12.23,Synthetic data for visualization practice
Kerala,2019,Coverage_Percent,90.35,Synthetic data for visualization practice
Kerala,2019,Utilization_Percent,91.1,Synthetic data for visualization practice
Madhya Pradesh,2019,Beneficiaries_Lakh,22.82,Synthetic data for visualization practice
